ROWID,TRUTH,TRAININGSET
272.txt,4,1
273.txt,20,1
274.txt,20,1
275.txt,20,1
276.txt,20,1
277.txt,4,1
278.txt,4,1
279.txt,15,1
280.txt,15,1
281.txt,4,1
282.txt,4,1
283.txt,20,1
284.txt,20,1
285.txt,1,1
286.txt,1,1
287.txt,20,1
288.txt,20,1
289.txt,9,1
290.txt,9,1
291.txt,4,1
292.txt,4,1
293.txt,20,1
294.txt,20,1
295.txt,3,1
296.txt,3,1
297.txt,3,1
298.txt,3,1
299.txt,20,1
300.txt,20,1
301.txt,20,1
302.txt,20,1
303.txt,6,1
304.txt,6,1
305.txt,6,1
306.txt,6,1
307.txt,20,1
308.txt,20,1
309.txt,6,1
310.txt,6,1
311.txt,20,1
312.txt,20,1
313.txt,1,1
314.txt,1,1
315.txt,15,1
316.txt,15,1
317.txt,3,1
318.txt,3,1
319.txt,6,1
320.txt,6,1
321.txt,6,1
322.txt,6,1
323.txt,6,1
324.txt,6,1
325.txt,20,1
326.txt,20,1
327.txt,1,1
328.txt,1,1
329.txt,1,1
330.txt,1,1
331.txt,1,1
332.txt,1,1
333.txt,5,1
334.txt,5,1
335.txt,5,1
336.txt,5,1
337.txt,5,1
338.txt,5,1
339.txt,6,1
340.txt,6,1
341.txt,2,1
342.txt,2,1
343.txt,2,1
344.txt,2,1
345.txt,5,1
346.txt,5,1
347.txt,1,1
348.txt,1,1
349.txt,6,1
350.txt,6,1
351.txt,3,1
352.txt,3,1
353.txt,8,1
354.txt,8,1
355.txt,8,1
356.txt,8,1
357.txt,8,1
358.txt,8,1
359.txt,6,1
360.txt,6,1
361.txt,7,1
362.txt,7,1
363.txt,21,1
364.txt,21,1
365.txt,1,1
366.txt,1,1
367.txt,7,1
368.txt,7,1
369.txt,6,1
370.txt,6,1
371.txt,3,1
372.txt,3,1
373.txt,19,1
374.txt,19,1
375.txt,20,1
376.txt,20,1
377.txt,21,1
378.txt,21,1
379.txt,6,1
380.txt,6,1
381.txt,7,1
382.txt,7,1
383.txt,3,1
384.txt,3,1
385.txt,12,1
386.txt,12,1
387.txt,20,1
388.txt,20,1
389.txt,7,1
390.txt,7,1
391.txt,7,1
392.txt,7,1
393.txt,17,1
394.txt,17,1
395.txt,17,1
396.txt,17,1
397.txt,20,1
398.txt,20,1
399.txt,7,1
400.txt,7,1
401.txt,6,1
402.txt,6,1
403.txt,20,1
404.txt,20,1
405.txt,8,1
406.txt,8,1
407.txt,19,1
408.txt,19,1
409.txt,8,1
410.txt,8,1
411.txt,6,1
412.txt,6,1
413.txt,3,1
414.txt,3,1
415.txt,5,1
416.txt,5,1
417.txt,6,1
418.txt,6,1
419.txt,5,1
420.txt,5,1
421.txt,5,1
422.txt,5,1
423.txt,5,1
424.txt,5,1
425.txt,15,1
426.txt,15,1
427.txt,20,1
428.txt,20,1
429.txt,20,1
430.txt,20,1
431.txt,20,1
432.txt,20,1
433.txt,20,1
434.txt,20,1
435.txt,20,1
436.txt,20,1
437.txt,1,1
438.txt,1,1
439.txt,1,1
440.txt,1,1
441.txt,7,1
442.txt,7,1
443.txt,20,1
444.txt,20,1
445.txt,15,1
446.txt,15,1
447.txt,20,1
448.txt,20,1
449.txt,1,1
450.txt,1,1
451.txt,2,1
452.txt,2,1
453.txt,3,1
454.txt,3,1
455.txt,19,1
456.txt,19,1
457.txt,1,1
458.txt,1,1
459.txt,19,1
460.txt,19,1
461.txt,19,1
462.txt,19,1
463.txt,19,1
464.txt,19,1
465.txt,19,1
466.txt,19,1
467.txt,1,1
468.txt,1,1
469.txt,6,1
470.txt,6,1
471.txt,20,1
472.txt,20,1
473.txt,19,1
474.txt,19,1
475.txt,19,1
476.txt,19,1
477.txt,1,1
478.txt,1,1
479.txt,1,1
480.txt,1,1
481.txt,1,1
482.txt,1,1
483.txt,6,1
484.txt,6,1
485.txt,13,1
486.txt,13,1
487.txt,4,1
488.txt,4,1
489.txt,21,1
490.txt,21,1
491.txt,2,1
492.txt,2,1
493.txt,2,1
494.txt,2,1
495.txt,2,1
496.txt,2,1
497.txt,2,1
498.txt,2,1
499.txt,2,1
500.txt,2,1
501.txt,2,1
502.txt,2,1
503.txt,6,1
504.txt,6,1
505.txt,1,1
506.txt,1,1
507.txt,1,1
508.txt,1,1
509.txt,1,1
510.txt,1,1
511.txt,1,1
512.txt,1,1
513.txt,1,1
514.txt,1,1
515.txt,6,1
516.txt,6,1
517.txt,1,1
518.txt,1,1
519.txt,6,1
520.txt,6,1
521.txt,5,1
522.txt,5,1
523.txt,5,1
524.txt,5,1
525.txt,6,1
526.txt,6,1
527.txt,5,1
528.txt,5,1
529.txt,19,1
530.txt,19,1
531.txt,20,1
532.txt,20,1
533.txt,1,1
534.txt,1,1
535.txt,2,1
536.txt,2,1
537.txt,3,1
538.txt,3,1
539.txt,5,1
540.txt,5,1
541.txt,5,1
542.txt,5,1
543.txt,5,1
544.txt,5,1
545.txt,5,1
546.txt,5,1
547.txt,5,1
548.txt,5,1
549.txt,20,1
550.txt,20,1
551.txt,20,1
552.txt,20,1
553.txt,5,1
554.txt,5,1
555.txt,5,1
556.txt,5,1
557.txt,6,1
558.txt,6,1
559.txt,6,1
560.txt,6,1
561.txt,1,1
562.txt,1,1
563.txt,1,1
564.txt,1,1
565.txt,6,1
566.txt,6,1
567.txt,2,1
568.txt,2,1
569.txt,1,1
570.txt,1,1
571.txt,4,1
572.txt,4,1
573.txt,6,1
574.txt,6,1
575.txt,6,1
576.txt,6,1
577.txt,1,1
578.txt,1,1
579.txt,2,1
580.txt,2,1
581.txt,1,1
582.txt,1,1
583.txt,1,1
584.txt,1,1
585.txt,5,1
586.txt,5,1
587.txt,6,1
588.txt,6,1
589.txt,4,1
590.txt,4,1
591.txt,5,1
592.txt,5,1
593.txt,12,1
594.txt,12,1
595.txt,16,1
596.txt,16,1
597.txt,16,1
598.txt,16,1
599.txt,1,1
600.txt,1,1
601.txt,21,1
602.txt,21,1
603.txt,20,1
604.txt,20,1
605.txt,20,1
606.txt,20,1
607.txt,21,1
608.txt,21,1
609.txt,20,1
610.txt,20,1
611.txt,20,1
612.txt,20,1
613.txt,1,1
614.txt,1,1
615.txt,1,1
616.txt,1,1
617.txt,1,1
618.txt,1,1
619.txt,20,1
620.txt,20,1
621.txt,1,1
622.txt,1,1
623.txt,1,1
624.txt,1,1
625.txt,1,1
626.txt,1,1
627.txt,1,1
628.txt,1,1
629.txt,1,1
630.txt,1,1
631.txt,1,1
632.txt,1,1
633.txt,1,1
634.txt,1,1
635.txt,6,1
636.txt,6,1
637.txt,20,1
638.txt,20,1
639.txt,1,1
640.txt,1,1
641.txt,1,1
642.txt,1,1
643.txt,1,1
644.txt,1,1
645.txt,6,1
646.txt,6,1
647.txt,1,1
648.txt,1,1
649.txt,1,1
650.txt,1,1
651.txt,7,1
652.txt,7,1
653.txt,4,1
654.txt,4,1
655.txt,2,1
656.txt,2,1
657.txt,1,1
658.txt,1,1
659.txt,13,1
660.txt,13,1
661.txt,4,1
662.txt,4,1
663.txt,1,1
664.txt,1,1
665.txt,1,1
666.txt,1,1
667.txt,1,1
668.txt,1,1
669.txt,3,1
670.txt,3,1
671.txt,1,1
672.txt,1,1
673.txt,20,1
674.txt,20,1
675.txt,1,1
676.txt,1,1
677.txt,2,1
678.txt,2,1
679.txt,12,1
680.txt,12,1
681.txt,12,1
682.txt,12,1
683.txt,6,1
684.txt,6,1
685.txt,20,1
686.txt,20,1
687.txt,20,1
688.txt,20,1
689.txt,20,1
690.txt,20,1
691.txt,4,1
692.txt,4,1
693.txt,6,1
694.txt,6,1
695.txt,19,1
696.txt,19,1
697.txt,2,1
698.txt,2,1
699.txt,13,1
700.txt,13,1
701.txt,1,1
702.txt,1,1
703.txt,3,1
704.txt,3,1
705.txt,18,1
706.txt,18,1
707.txt,7,1
708.txt,7,1
709.txt,1,1
710.txt,1,1
711.txt,13,1
712.txt,13,1
713.txt,6,1
714.txt,6,1
715.txt,3,1
716.txt,3,1
717.txt,1,1
718.txt,1,1
719.txt,1,1
720.txt,1,1
721.txt,1,1
722.txt,1,1
723.txt,3,1
724.txt,3,1
725.txt,3,1
726.txt,3,1
727.txt,1,1
728.txt,1,1
729.txt,1,1
730.txt,1,1
731.txt,1,1
732.txt,1,1
733.txt,1,1
734.txt,1,1
735.txt,20,1
736.txt,20,1
737.txt,1,1
738.txt,1,1
739.txt,1,1
740.txt,1,1
741.txt,1,1
742.txt,1,1
743.txt,7,1
744.txt,7,1
745.txt,20,1
746.txt,20,1
747.txt,3,1
748.txt,3,1
749.txt,5,1
750.txt,5,1
751.txt,1,1
752.txt,1,1
753.txt,2,1
754.txt,2,1
755.txt,3,1
756.txt,3,1
757.txt,1,1
758.txt,1,1
759.txt,1,1
760.txt,1,1
761.txt,5,1
762.txt,5,1
763.txt,1,1
764.txt,1,1
765.txt,1,1
766.txt,1,1
767.txt,1,1
768.txt,1,1
769.txt,3,1
770.txt,3,1
771.txt,8,1
772.txt,8,1
773.txt,21,1
774.txt,21,1
775.txt,3,1
776.txt,3,1
777.txt,1,1
778.txt,1,1
779.txt,1,1
780.txt,1,1
781.txt,1,1
782.txt,1,1
783.txt,1,1
784.txt,1,1
785.txt,20,1
786.txt,20,1
787.txt,1,1
788.txt,1,1
789.txt,20,1
790.txt,20,1
791.txt,6,1
792.txt,6,1
793.txt,14,1
794.txt,14,1
795.txt,14,1
796.txt,14,1
797.txt,18,1
798.txt,18,1
799.txt,1,1
800.txt,1,1
801.txt,6,1
802.txt,6,1
803.txt,1,1
804.txt,1,1
805.txt,1,1
806.txt,1,1
807.txt,1,1
808.txt,1,1
809.txt,1,1
810.txt,1,1
811.txt,20,1
812.txt,20,1
813.txt,1,1
814.txt,1,1
815.txt,1,1
816.txt,1,1
817.txt,1,1
818.txt,1,1
819.txt,1,1
820.txt,1,1
821.txt,20,1
822.txt,20,1
823.txt,1,1
824.txt,1,1
825.txt,1,1
826.txt,1,1
827.txt,1,1
828.txt,1,1
829.txt,20,1
830.txt,20,1
831.txt,1,1
832.txt,1,1
833.txt,1,1
834.txt,1,1
835.txt,1,1
836.txt,1,1
837.txt,1,1
838.txt,1,1
839.txt,1,1
840.txt,1,1
841.txt,20,1
842.txt,20,1
843.txt,1,1
844.txt,1,1
845.txt,20,1
846.txt,20,1
847.txt,20,1
848.txt,20,1
849.txt,20,1
850.txt,20,1
851.txt,20,1
852.txt,20,1
853.txt,20,1
854.txt,20,1
855.txt,1,1
856.txt,1,1
857.txt,12,1
858.txt,12,1
859.txt,12,1
860.txt,12,1
861.txt,6,1
862.txt,6,1
863.txt,6,1
864.txt,6,1
865.txt,6,1
866.txt,6,1
867.txt,1,1
868.txt,1,1
869.txt,5,1
870.txt,5,1
871.txt,1,1
872.txt,1,1
873.txt,1,1
874.txt,1,1
875.txt,20,1
876.txt,20,1
877.txt,13,1
878.txt,13,1
879.txt,1,1
880.txt,1,1
881.txt,12,1
882.txt,12,1
883.txt,3,1
884.txt,3,1
885.txt,17,1
886.txt,17,1
887.txt,17,1
888.txt,17,1
889.txt,3,1
890.txt,3,1
891.txt,12,1
892.txt,12,1
893.txt,1,1
894.txt,1,1
895.txt,3,1
896.txt,3,1
897.txt,20,1
898.txt,20,1
899.txt,1,1
900.txt,1,1
901.txt,1,1
902.txt,1,1
903.txt,1,1
904.txt,1,1
905.txt,1,1
906.txt,1,1
907.txt,5,1
908.txt,5,1
909.txt,5,1
910.txt,5,1
911.txt,5,1
912.txt,5,1
913.txt,1,1
914.txt,1,1
915.txt,6,1
916.txt,6,1
917.txt,1,1
918.txt,1,1
919.txt,12,1
920.txt,12,1
921.txt,1,1
922.txt,1,1
923.txt,12,1
924.txt,12,1
925.txt,1,1
926.txt,1,1
927.txt,3,1
928.txt,3,1
929.txt,20,1
930.txt,20,1
931.txt,13,1
932.txt,13,1
933.txt,6,1
934.txt,6,1
935.txt,2,1
936.txt,2,1
937.txt,2,1
938.txt,2,1
939.txt,2,1
940.txt,2,1
941.txt,1,1
942.txt,1,1
943.txt,2,1
944.txt,2,1
945.txt,2,1
946.txt,2,1
947.txt,21,1
948.txt,21,1
949.txt,12,1
950.txt,12,1
951.txt,12,1
952.txt,12,1
953.txt,12,1
954.txt,12,1
955.txt,5,1
956.txt,5,1
957.txt,5,1
958.txt,5,1
959.txt,5,1
960.txt,5,1
961.txt,2,1
962.txt,2,1
963.txt,20,1
964.txt,20,1
965.txt,15,1
966.txt,15,1
967.txt,12,1
968.txt,12,1
969.txt,5,1
970.txt,5,1
971.txt,6,1
972.txt,6,1
973.txt,5,1
974.txt,5,1
975.txt,20,1
976.txt,20,1
977.txt,3,1
978.txt,3,1
979.txt,20,1
980.txt,20,1
981.txt,20,1
982.txt,20,1
983.txt,20,1
984.txt,20,1
985.txt,20,1
986.txt,20,1
987.txt,3,1
988.txt,3,1
989.txt,20,1
990.txt,20,1
991.txt,1,1
992.txt,1,1
993.txt,2,1
994.txt,2,1
995.txt,20,1
996.txt,20,1
997.txt,20,1
998.txt,20,1
999.txt,20,1
1000.txt,20,1
1001.txt,12,1
1002.txt,12,1
1003.txt,20,1
1004.txt,20,1
1005.txt,2,1
1006.txt,2,1
1007.txt,6,1
1008.txt,6,1
1009.txt,7,1
1010.txt,7,1
1011.txt,8,1
1012.txt,8,1
1013.txt,6,1
1014.txt,6,1
1015.txt,2,1
1016.txt,2,1
1017.txt,21,1
1018.txt,21,1
1019.txt,21,1
1020.txt,21,1
1021.txt,20,1
1022.txt,20,1
1023.txt,6,1
1024.txt,6,1
1025.txt,8,1
1026.txt,8,1
1027.txt,19,1
1028.txt,19,1
1029.txt,19,1
1030.txt,19,1
1031.txt,19,1
1032.txt,19,1
1033.txt,2,1
1034.txt,2,1
1035.txt,2,1
1036.txt,2,1
1037.txt,4,1
1038.txt,4,1
1039.txt,3,1
1040.txt,3,1
1041.txt,2,1
1042.txt,2,1
1043.txt,6,1
1044.txt,6,1
1045.txt,7,1
1046.txt,7,1
1047.txt,3,1
1048.txt,3,1
1049.txt,3,1
1050.txt,3,1
1051.txt,3,1
1052.txt,3,1
1053.txt,3,1
1054.txt,3,1
1055.txt,5,1
1056.txt,5,1
1057.txt,3,1
1058.txt,3,1
1059.txt,7,1
1060.txt,7,1
1061.txt,20,1
1062.txt,20,1
1063.txt,20,1
1064.txt,20,1
1065.txt,20,1
1066.txt,20,1
1067.txt,20,1
1068.txt,20,1
1069.txt,6,1
1070.txt,6,1
1071.txt,6,1
1072.txt,6,1
1073.txt,1,1
1074.txt,1,1
1075.txt,20,1
1076.txt,20,1
1077.txt,20,1
1078.txt,20,1
1079.txt,3,1
1080.txt,3,1
1081.txt,20,1
1082.txt,20,1
1083.txt,2,1
1084.txt,2,1
1085.txt,2,1
1086.txt,2,1
1087.txt,3,1
1088.txt,3,1
1089.txt,5,1
1090.txt,5,1
1091.txt,10,1
1092.txt,10,1
1093.txt,1,1
1094.txt,1,1
1095.txt,12,1
1096.txt,12,1
1097.txt,1,1
1098.txt,1,1
1099.txt,19,1
1100.txt,19,1
1101.txt,5,1
1102.txt,5,1
1103.txt,20,1
1104.txt,20,1
1105.txt,20,1
1106.txt,20,1
1107.txt,5,1
1108.txt,5,1
1109.txt,20,1
1110.txt,20,1
1111.txt,12,1
1112.txt,12,1
1113.txt,12,1
1114.txt,12,1
1115.txt,12,1
1116.txt,12,1
1117.txt,15,1
1118.txt,15,1
1119.txt,3,1
1120.txt,3,1
1121.txt,5,1
1122.txt,5,1
1123.txt,2,1
1124.txt,2,1
1125.txt,1,1
1126.txt,1,1
1127.txt,1,1
1128.txt,1,1
1129.txt,2,1
1130.txt,2,1
1131.txt,3,1
1132.txt,3,1
1133.txt,5,1
1134.txt,5,1
1135.txt,1,1
1136.txt,1,1
1137.txt,5,1
1138.txt,5,1
1139.txt,9,1
1140.txt,9,1
1141.txt,9,1
1142.txt,9,1
1143.txt,9,1
1144.txt,9,1
1145.txt,1,1
1146.txt,1,1
1147.txt,1,1
1148.txt,1,1
1149.txt,6,1
1150.txt,6,1
1151.txt,5,1
1152.txt,5,1
1153.txt,5,1
1154.txt,5,1
1155.txt,5,1
1156.txt,5,1
1157.txt,1,1
1158.txt,1,1
1159.txt,20,1
1160.txt,20,1
1161.txt,5,1
1162.txt,5,1
1163.txt,5,1
1164.txt,5,1
1165.txt,5,1
1166.txt,5,1
1167.txt,20,1
1168.txt,20,1
1169.txt,20,1
1170.txt,20,1
1171.txt,5,1
1172.txt,5,1
1173.txt,5,1
1174.txt,5,1
1175.txt,2,1
1176.txt,2,1
1177.txt,6,1
1178.txt,6,1
1179.txt,5,1
1180.txt,5,1
1181.txt,5,1
1182.txt,5,1
1183.txt,5,1
1184.txt,5,1
1185.txt,5,1
1186.txt,5,1
1187.txt,5,1
1188.txt,5,1
1189.txt,5,1
1190.txt,5,1
1191.txt,20,1
1192.txt,20,1
1193.txt,5,1
1194.txt,5,1
1195.txt,5,1
1196.txt,5,1
1197.txt,5,1
1198.txt,5,1
1199.txt,5,1
1200.txt,5,1
1201.txt,5,1
1202.txt,5,1
1203.txt,5,1
1204.txt,5,1
1205.txt,5,1
1206.txt,5,1
1207.txt,16,1
1208.txt,16,1
1209.txt,5,1
1210.txt,5,1
1211.txt,5,1
1212.txt,5,1
1213.txt,6,1
1214.txt,6,1
1215.txt,3,1
1216.txt,3,1
1217.txt,5,1
1218.txt,5,1
1219.txt,5,1
1220.txt,5,1
1221.txt,5,1
1222.txt,5,1
1223.txt,20,1
1224.txt,20,1
1225.txt,20,1
1226.txt,20,1
1227.txt,5,1
1228.txt,5,1
1229.txt,5,1
1230.txt,5,1
1231.txt,5,1
1232.txt,5,1
1233.txt,5,1
1234.txt,5,1
1235.txt,5,1
1236.txt,5,1
1237.txt,5,1
1238.txt,5,1
1239.txt,5,1
1240.txt,5,1
1241.txt,5,1
1242.txt,5,1
1243.txt,5,1
1244.txt,5,1
1245.txt,6,1
1246.txt,6,1
1247.txt,12,1
1248.txt,12,1
1249.txt,1,1
1250.txt,1,1
1251.txt,12,1
1252.txt,12,1
1253.txt,10,1
1254.txt,10,1
1255.txt,5,1
1256.txt,5,1
1257.txt,5,1
1258.txt,5,1
1259.txt,6,1
1260.txt,6,1
1261.txt,5,1
1262.txt,5,1
1263.txt,5,1
1264.txt,5,1
1265.txt,5,1
1266.txt,5,1
1267.txt,5,1
1268.txt,5,1
1269.txt,5,1
1270.txt,5,1
1271.txt,20,1
1272.txt,20,1
1273.txt,12,1
1274.txt,12,1
1275.txt,5,1
1276.txt,5,1
1277.txt,5,1
1278.txt,5,1
1279.txt,12,1
1280.txt,12,1
1281.txt,12,1
1282.txt,12,1
1283.txt,5,1
1284.txt,5,1
1285.txt,5,1
1286.txt,5,1
1287.txt,2,1
1288.txt,2,1
1289.txt,5,1
1290.txt,5,1
1291.txt,5,1
1292.txt,5,1
1293.txt,2,1
1294.txt,2,1
1295.txt,6,1
1296.txt,6,1
1297.txt,5,1
1298.txt,5,1
1299.txt,5,1
1300.txt,5,1
1301.txt,5,1
1302.txt,5,1
1303.txt,5,1
1304.txt,5,1
1305.txt,3,1
1306.txt,3,1
1307.txt,5,1
1308.txt,5,1
1309.txt,3,1
1310.txt,3,1
1311.txt,3,1
1312.txt,3,1
1313.txt,2,1
1314.txt,2,1
1315.txt,2,1
1316.txt,2,1
1317.txt,12,1
1318.txt,12,1
1319.txt,5,1
1320.txt,5,1
1321.txt,5,1
1322.txt,5,1
1323.txt,5,1
1324.txt,5,1
1325.txt,20,1
1326.txt,20,1
1327.txt,20,1
1328.txt,20,1
1329.txt,5,1
1330.txt,5,1
1331.txt,5,1
1332.txt,5,1
1333.txt,5,1
1334.txt,5,1
1335.txt,5,1
1336.txt,5,1
1337.txt,5,1
1338.txt,5,1
1339.txt,3,1
1340.txt,3,1
1341.txt,5,1
1342.txt,5,1
1343.txt,20,1
1344.txt,20,1
1345.txt,5,1
1346.txt,5,1
1347.txt,1,1
1348.txt,1,1
1349.txt,13,1
1350.txt,13,1
1351.txt,13,1
1352.txt,13,1
1353.txt,13,1
1354.txt,13,1
1355.txt,4,1
1356.txt,4,1
1357.txt,1,1
1358.txt,1,1
1359.txt,6,1
1360.txt,6,1
1361.txt,6,1
1362.txt,6,1
1363.txt,20,1
1364.txt,20,1
1365.txt,20,1
1366.txt,20,1
1367.txt,5,1
1368.txt,5,1
1369.txt,20,1
1370.txt,20,1
1371.txt,16,1
1372.txt,16,1
1373.txt,5,1
1374.txt,5,1
1375.txt,5,1
1376.txt,5,1
1377.txt,16,1
1378.txt,16,1
1379.txt,5,1
1380.txt,5,1
1381.txt,20,1
1382.txt,20,1
1383.txt,20,1
1384.txt,20,1
1385.txt,14,1
1386.txt,14,1
1387.txt,13,1
1388.txt,13,1
1389.txt,6,1
1390.txt,6,1
1391.txt,6,1
1392.txt,6,1
1393.txt,13,1
1394.txt,13,1
1395.txt,4,1
1396.txt,4,1
1397.txt,5,1
1398.txt,5,1
1399.txt,1,1
1400.txt,1,1
1401.txt,6,1
1402.txt,6,1
1403.txt,20,1
1404.txt,20,1
1405.txt,20,1
1406.txt,20,1
1407.txt,1,1
1408.txt,1,1
1409.txt,20,1
1410.txt,20,1
1411.txt,20,1
1412.txt,20,1
1413.txt,20,1
1414.txt,20,1
1415.txt,1,1
1416.txt,1,1
1417.txt,20,1
1418.txt,20,1
1419.txt,20,1
1420.txt,20,1
1421.txt,16,1
1422.txt,16,1
1423.txt,5,1
1424.txt,5,1
1425.txt,5,1
1426.txt,5,1
1427.txt,5,1
1428.txt,5,1
1429.txt,1,1
1430.txt,1,1
1431.txt,8,1
1432.txt,8,1
1433.txt,6,1
1434.txt,6,1
1435.txt,2,1
1436.txt,2,1
1437.txt,5,1
1438.txt,5,1
1439.txt,6,1
1440.txt,6,1
1441.txt,1,1
1442.txt,1,1
1443.txt,5,1
1444.txt,5,1
1445.txt,3,1
1446.txt,3,1
1447.txt,3,1
1448.txt,3,1
1449.txt,1,1
1450.txt,1,1
1451.txt,5,1
1452.txt,5,1
1453.txt,5,1
1454.txt,5,1
1455.txt,8,1
1456.txt,8,1
1457.txt,2,1
1458.txt,2,1
1459.txt,1,1
1460.txt,1,1
1461.txt,1,1
1462.txt,1,1
1463.txt,2,1
1464.txt,2,1
1465.txt,5,1
1466.txt,5,1
1467.txt,5,1
1468.txt,5,1
1469.txt,3,1
1470.txt,3,1
1471.txt,20,1
1472.txt,20,1
1473.txt,2,1
1474.txt,2,1
1475.txt,5,1
1476.txt,5,1
1477.txt,1,1
1478.txt,1,1
1479.txt,20,1
1480.txt,20,1
1481.txt,3,1
1482.txt,3,1
1483.txt,5,1
1484.txt,5,1
1485.txt,1,1
1486.txt,1,1
1487.txt,5,1
1488.txt,5,1
1489.txt,5,1
1490.txt,5,1
1491.txt,1,1
1492.txt,1,1
1493.txt,6,1
1494.txt,6,1
1495.txt,1,1
1496.txt,1,1
